GAGVORNVY7DHBD6YOIR7YYWSGVSWKPJW333DOR4E2UIRGXZDYSPMTFF4,,52530797.051619,"97"
GBGII2C7M4TOEC2MVAZYG3TRFM3ATCCEWANSN4Q3AHEX3NRKXJCVZDEV,OKEX,52420659.607146,"371269"
GAJGWNIJ2XNY5QIS6L4KR4LQ66OPH4QA4OFJ2JWLYLA2IJ7EKUKVFEDR,,50420125.929488,"32030"
GDT6Y7CJ6IFGH7GX5EPSQY3FCPDEXOSXIW4GFKJCXL7I76M3I73VCKVX,,50000003.46597,"388"
GA32BM5X35IWVEPBGFUXPEXCVDTDLULY5K4NZLX2P2RJQ7YQ7WK44DXX,,50000000.0211,"117"
GDVXXYSP5OJOAE6E7QZHOT76SYCRA62CIQAQI6GRRSBRZXVHLVYB5LIK,,50000000.0211,"109"
GD576L7LHZFEDBWHJRW66RBQ6QF2DIJONOUVZNEC3AXONMSNKHZFXEOE,,50000000.0211,"85"
GCVB277KRAE6HB3ZILPCG6SPB6G3S2PXQBH7YNN2ARAMEKFCJ6EDCLQ3,,50000000.0211,"84"
GD7V2S2722ARH26K4FB2VPIH6HZ35QOLXDMRPHCKTW5E6QVMHIFLMEAT,,50000000.0211,"83"
GCKEGQWMFBVZJFNA2OKAVXWVC5DFHTYTXMHB2XNRILNWO7542GLAJ5I7,,50000000.0211,"86"
GACT4PO4B7WBPCPW6SLDVLYCUCHWX4RNVW24T6C67OFXHYGXTHXB3Y7Z,,50000000.0211,"88"
GC2NZK72UG5ZIGWPILQCHADEJ36GQK62X2GQVK4D6Q63JGGHPK3S4DQO,,50000000.0211,"97"
GDL5SSEPRVW7NGMDH5XAAFG6OEEP6KLMBNJZWN5M5C6AWAYZ72MBKWLF,,50000000.0211,"96"
GA7W4FHP6PI7K3Z74DOKOW5OEMHETI7K2NPAH43QULRWXOY4JQVN35J2,,50000000.0211,"83"
GCQHO23D3XYIOY6BWXB7DF7C4PLT2OUMKHYJZJKUP4J7JTVXW5S277MY,,50000000.0211,"103"
GA2WQABD6WAZQWE7T575QPZNDMO2CVKZZA4KNRN4A6UPGIARUTQA4JQF,,50000000.0211,"91"
GDHENNXVLGGTUNDLEQJHKK2NB3I3HPTJ4P6XBK2M3GT5GKKEVMB6XMVR,,50000000.0211,"82"
GDJBJLE4W4K6USZ7YJMRP4FGVKDKKGZVJHL6HWLVK7LUT6L3UH7LEXET,,50000000.0211,"93"
GDHHMWFCEVRN3GRFIGAUZEXFF4SFH6XWYRBQQYIPH2ME3MO56UK4JLJN,,50000000.0211,"92"
GB5R2UN2QLVFDDN64WSBQE2J6WTDX6CFL6G2EFEQZ4AFQ4ZRQJFJBTBV,,49948502.554677,"90"
GD7LTKGYO2MRMCEZCQSBBEKLX3HXGAFWJSVLZBP2DHPPLNE242QGCJ5J,,49890257.671271,"90"
GADNLALCUZITYGD3OFSA5K7QVJKWQJPJ2QB2BGPC74TNCWG6EJBI735I,,49867872.521325,"84"
GAHXXQOBPLTY2FGITC2P3KUTEH44WOQEFM4JVB4OKEIT3FDL7NOXVFLA,,49791466.544589,"92"
GAL5ND3GKWFCKUKPD4ESP5PK6MY5QGDGPM4AS5476QCNQUTMDDPIXPFF,,49741071.701346,"95"
GAGX6V7OFM62FO2QL2KZX54MXTRWTMYGZVQOZ35MUVRJRUEYWACSNC76,,49140564.159188,"95"
GBB7QWBVHQ4RYVDL4D4D4BI5XOS4KF2ZCD6BPPWBMY5HLMCLLCQIQVGN,,49118627.2144,"362"
