GDHX2TXUCR3XR2Z4KDMIAWY2KRGJC6UG2BJM2WDUAMWH3N3IDI6QZGRK,Scam,1
GDHUWVY55T2MEHN5WQN4S3MCGE24J7TA4AXQQKQFTMNRJO2ZND6JZJ4J,Scam,1
GDH6LRG2RPZMML3RMEHMS5PNYUFJCTOA67MJD2SLFETNJV7BP65CBOJH,Scam,1
GDH5B7J3J2ZVRELVRTSBZNFM3M7MPYHS7YMKCGP54YUUD2G4XDKINDUS,Scam,1
GDH2WFI2HQOKSRSKOCDT4BU26RNVTJ2S53G3XBSSEOAPBZLVTPPSWDUO,Scam,1
GDGTVWSM4MGS4T7Z6W4RPWOCHE2I6RDFCIFZGS3DOA63LWQTRNZNTTFF,Ultrastellar yUSDC Issuer,1
GDGQDVO6XPFSY4NMX75A7AOVYCF5JYGW2SHCJJNWCQWIDGOZB53DGP6C,Ternio,1
GDGO6TGQLDCUYLQU3JOCSIU7CVCVUC2VHSTUUDPOUEDSZ2L5K3SWO76Y,Scam,1
GDGKBRCPW4C3ENNC5C64PE6U33MG52GBKFXOK5P3OSWF74DAOXRXV6OJ,Nezly,1
GDGHWZ5ZVOQOP73LRU5SXWP575MT7LWY3CCAMVIIDBRNTMN7JYLTIZVH,Scam,1
GDGEHGS55GAR2TQHLUQEPLWPEUAGGDJTLLDITVASE72TNXDZRYQFFY4P,Scam,1
GDGDECMFS34OVTQJKTCHORPE7LOYDH2XYNRMUHLGCJFP56VUN6AW5LCF,FreightCoin,1
GDG5YYE7DZRCASJHJS54E7ZXI3DWE4YPG7FQRVEENUELWLN7345RMVLK,Scam,1
GDG4YS5QMFOC5NT2HNATHIB4BLGNEJ7OPWQTXAQ7NGJLWOVFJGSEKAL5,Scam,1
GDFZRPLTLY4HZXHRMN3J2LSSBNE3SRTLFWC6AKV3TS5TXBGYPJVZY44P,Wirex Withdrawal,1
GDFNZC67TH7RPXVAYWE7SGDNA2JA2QEIFHDR5WK75W7ZKMMWUXMNC5Z4,Scam,1
GDFI6NFZR6QXPEX7RRVSIWBQHROGR4JYFT4ZJISKAFUPQQF33DRDR7C5,SimpleSwap,1
GDF36MDMTL56QDCTXM5HGGHZ35GM3NYEKF272X5B2JE2N32ONBBY374Q,Scam,1
GDEZDZYWGBCIXWEMEZBTUE4B5H6N4WBYKVY6GQBKCFIL5HOUUNUOI6S3,Celsius,1
GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS,Scam,1
GDESC7QUBSZURZYW3URLNRCRSTUMZNAMAJ35BH4VTVPD46FQ63BURPO5,Wirex Withdrawal,1
GDEGOXPCHXWFYY234D2YZSPEJ24BX42ESJNVHY5H7TWWQSYRN5ZKZE3N,SureRemit,1
GDDGWMB5BPBAXFS5KCAI4VEIZMJYXPB7ECDWOG7XQ5DVQ47NJXRNJKKH,Scam,1
GDDGK5C7UQWC7AEFZZVO7KXRXZVP2BBQJ2IQFAIROKME2O3XQR2CMVC7,Stably,1
GDDACN4WMF43EOMQZXR22WOGHNOAIQVUGC3TVQIOYYCSVTGOVF5HGWGX,Scam,1
GDCHDRSDOBRMSUDKRE2C4U4KDLNEATJPIHHR2ORFL5BSD56G4DQXL4VW,StellarTerm Pool,1
GDCGAINCTWVBSZD6HYX67X2A36J5XJFBDJPJCM6PMLCDTQ3WIUSNAPDV,Hack,1
GDC7UWGW676LQFJLEVWVOYOKFGVTPDQ4LVP27QS3W45XDDT4UQHWHHO4,WireX Deposit,1
GDBOHBEMEAAO3NFU7NFCZV3SJQPHGLU2BZ7H6FPWI3Y3DP6TAVHKBHZ7,Scam,1
GDBODIQSZ4LAHYJAGVDATIEUNFPAADG2X4T33ZIX6UO3WNOPEGXV7VRX,SDF/Kolten,1
GDBKXR3ALWBJHTEWUNY3Q57IKQ45NWVFC5AWXHWEP4I5G3RX7BERZAIN,Apay,1
GDBGLDEHQABEF5ASLE6SV3YYDDJIIAZOD3IYT2QQ7Y6WO7QXLAHTFZ2W,Scam,1
GDBCHKTHJUKDGSIQSTBUXFWVP3QVART5LED6KRZQ5X4Z5WLT4BGYXWCI,Cryptomover,1
GDB6OY6JXWM55M3KOYML6YX7ENRFIMR4Q7Z6MEIXP52ZVMZMTWGLMMGS,Scam,1
GDB3GJCDWLAMVV7ZL6Q7BH3PGVMFWHA5KSRIY2NML3RXX35ESL3MBOXU,AQUA Community DAO Fund,1
GD7UVDDJHJYKUXB4SJFIC6VJDQ4YADQCMRN3KLHJFV4H6NIUAEREVCO7,TARI,1
GD76TKZP7YI6VC4ICFHXRRXVE7J6VLSWHCM4H6DDDMYQ4R62RGZJTHEX,CityStates,1
GD72BLKILLE57MOFMB5YCB3IGZKSREQXOSZQ4UT7O5CV473S2F3TPBQA,Scam,1
GD6VRXL2KFX5BCWKE6RRKVWKAPWI7PAO55NWURLHJ5EI6S46UEWT6WC2,Scam,1
GD6RMKTCHQGEOGYWIKSY5G7QWXPZOAEZIKPKEVZUAXOQCZRVBRRFGLJM,NydroEnergy,1
GD6EEM6XL24SEIEP7ZNSTY6JS3NWHLTLK7VYF74OBTUUYGS3BV3YYG2S,Coinbase,1
GD5TFLGDYGTJNKJHPG2OEWBDUALIGPGPEDDZOZXSOGUBRGE76GL4AEB5,Scam,1
GD5J6HLF5666X4AZLTFTXLY46J5SW7EXRKBLEYPJP33S33MXZGV6CWFN,Bitbond,1
GD5G5KHNHXI7PKK73OC64OMPNIXYCK37RBTF6LEVLDMQE625YYFAVIBG,Scam,1
GD5EP2NHIOCORMXSPZ5OOXRKSKNALGRFAHVPEROA5IW4S2HV46Q5JB3P,Scam,1
GD57LIOPJ6DQNFBM2LLZNUDARWPAJCEGJ6O3QD6UPIV2RNEY6RMDJ3G3,Scam,1
GD4T35DMXYDE7BJWYPUWK43VFJO5IBUQYG2YGMICPTWP4JTNWQELKAVA,Kava,1
GD4MJHIGMXVZ2RMXARKSVP6MS5VF3DRJRD3XYHNALHKDLNVRILMSSSTX,AQUA Signers Guild Treasury,1
GD4K4475PI45TV2C4PV4XFTDNREVKWUYLWOAVUC2YXFHQ2KYPWBO36QO,Scam,1
GD4J347D3NT267QWCMJDZKJPEQFO2VENLZV6NUHFJQIDVMHGPWYRZ2BC,BitGo,1
GD4A3WU5XVI6FZFZJKIAEISP6JHPEU3ARLPK46KNXA27CEBWQRT4ZYWQ,Scam,1
GD3M4P2EF2VBNIK7AH3PP2ETXWORR46GTQNP45XID5CGEBITA36B367P,Scam,1
GD3BX4Q2WMGEMG347PDWS2Q2AWEINAQ57YMYDC2EA7ZYM7QG52OLB7YG,Scam,1
GD33QBHRPHI5APFSUVMHJN7SVZK5DCMS4EOXO3TC2NBZ3HA7JXCT75Z3,LuckyFish,1
GD2YURFWC5LIRLM4CCVZZHCFV6WXO46VOSBBPTJG6MPQN6ANYZZOLQJL,MartialArtsCoins,1
GD2XKSZM5MLD6EFHVVP43YEZSOQ6HIU46PCYWV7FJAKGS4VIDREDNW37,Scam,1
GD2XBAQWGYK2NND34CBDDZJIF52NGLKLH7X6U63ETCOPIRMGQOPWAMFP,Scam,1
GD2RRX6BKVTORZ6RIMBLWFVUOAYOLTS2QFJQUQPXLI3PBHR3TMLQNGZX,Liquido,1
GD2HOBAYJWQ6WO2VB3HLGYDISBWXOVTHBWHOP23OT2A2C5UVODJW7PM6,Scam,1
GD2D6JG6D3V52ZMPIYSVHYFKVNIMXGYVLYJQ3HYHG5YDPGJ3DCRGPLTP,SDF Escrow Jan 1 2022,1
GCZZSLDAXC3RSQVKOUJZZOY2MBD3CF7T3HDZKF4AR4QM4UX5SSAZHM56,Scam,1
GCZYLNGU4CA5NAWBAVTHMZH4JXWKP2OUJ6OK3I7XXZCNA5622WUJVLTG,SureRemit Swap,1
GCZUTICRTUPNNVXKGXZBEEZXMPYFCO3MQIT3K4OPIUBRHKNHC5FPAKXB,Apay,1
GCZTW7ZWTX7EHRS23NF2IWZOUTJXLXC3Z3TEXV2BV4JWORXYSTZ6JVIT,Wirex Withdrawal,1
GCZNF24HPMYTV6NOEHI7Q5RJFFUI23JKUKY3H3XTQAFBQIBOHD5OXG3B,Repocoin,1
GCYWTDEOHOG54AEN4AGD3OJNIC4U55JFGPNSVGUFEQC47EOHOU2NAJ4A,Scam,1
GCYOBYLM3BGLFUFNMVTELO7JK6FF2GWR7MYSWG27X26DWEGZDOG2PSNJ,Scam,1
GCYNLUPQ57HQT354QEPPD4UHBTJL5G3YTB2SC3XTBCYYSO4ZRQKKIPAY,Scam,1
GCYKQ2627BPKMSUZJK64GPYVKD4TRNACP45X6B754PR6TCYJXCHGUTWB,ApisCapital,1
GCYE7C77EB5AWAA25R5XMWNI2EDOKTTFTTPZKM2SR5DI4B4WFD52DARS,Anclap,1
GCY74NNON2N3TFLE5RICRIDBRDPFRZ4NZ7REL3J4IYAINGSNKR2HTHFF,Scam,1
GCY2JTEDDLLJF5XMTZURXILXTLR275RZBWUZ3RCMV6ZRBPIPXJE4D4HZ,Wirex Withdrawal,1
GCXOJK55F3UMCSRTQ7YMMMUUPTBOEW7JNMHVP5JAPXGILGSHC723O6Q4,Scam,1
GCWXXU6OABUNBTAAKCNSUJZN3URC72KYMYBNVGOIAIW35B5LH4AARIOL,Scam,1
GCWUVHYVEA3WZJ2EWR66P44YWQVRVI5SHI7H6MMYGGB4HKEFE6XJFUJC,SDF/Tomer,1
